stationId,name,shortName,y,x,timebase,active,owner,regionId
316,ELAT_1m,ELAT_1m,,,1,False,Rain_1m,5
317,EN HASHOFET_1m,EN HASHO,,,1,False,Rain_1m,5
318,AFEQ_1m,AFEQ_1m,,,1,False,Rain_1m,5
319,DEIR HANNA_1m,DEIR HAN,,,1,False,Rain_1m,5
320,ROSH HANIQRA_1m,ROSH HAN,,,1,False,Rain_1m,5
321,LEV KINERET IOLR_1m,LEV KINE,,,1,False,Rain_1m,5
322,AMMIAD_1m,AMMIAD_1,,,1,False,Rain_1m,5
323,NEWE YAAR_1m,NEWE YAA,,,1,False,Rain_1m,5
324,KEFAR BLUM_1m,KEFAR BL,,,1,False,Rain_1m,5
325,ESHHAR_1m,ESHHAR_1,,,1,False,Rain_1m,5
327,GAMLA_1m,GAMLA_1m,,,1,False,Rain_1m,5
328,MAALE GILBOA_1m,MAALE GI,,,1,False,Rain_1m,5
329,NEOT SMADAR_1m,NEOT SMA,,,1,False,Rain_1m,5
330,KEFAR NAHUM_1m,KEFAR NA,,,1,False,Rain_1m,5
331,TEL YOSEF_1m,TEL YOSE,,,1,False,Rain_1m,5
332,GALED_1m,GALED_1m,,,1,False,Rain_1m,5
333,MERHAVYA_1m 20170702,MERHAVYA,,,1,False,Rain_1m,5
334,SHAARE TIQWA_1m 20161205,SHAARE T,,,1,False,Rain_1m,5
335,AVDAT_1m,AVDAT_1m,,,1,False,Rain_1m,5
336,NIZZAN_1m,NIZZAN_1,,,1,False,Rain_1m,5
338,EZUZ,EZUZ,30.791,30.791,10,True,ims,12
343,SHAVE ZIYYON,SHAVE ZI,32.98,32.98,10,True,ims,15
344,EZUZ_1m,EZUZ_1m,,,1,False,Rain_1m,5
345,SHAVE ZIYYON_1m,SHAVE ZI,,,1,False,Rain_1m,5
346,KEFAR GILADI_1m,KEFAR GI,,,1,False,Rain_1m,1
348,DAFNA,DAFNA,33.23,33.23,10,True,ims,9
349,NEVATIM,NEVATIM,31.205,31.205,10,True,ims,12
350,LAHAV,LAHAV,31.3,31.3,10,True,ims,12
351,LAHAV_1m,LAHAV_1m,,,1,False,Rain_1m,2
352,DAFNA_1m,DAFNA_1m,,,1,False,Rain_1m,1
353,AYYELET HASHAHAR,AYYELET,33.02,33.02,10,True,ims,9
354,AYYELEY HASHAHAR_1m,AYYELEY,,,1,False,Rain_1m,1
355,MASSADA,MASSADA,32.67,32.67,10,True,ims,9
366,SEDE ELIYYAHU,SEDE ELI,32.44,32.44,10,True,ims,9
367,SEDE ELIYYAHU_1m,SEDE ELI,,,1,False,Rain_1m,1
370,NEVATIM_1m,NEVATIM_,,,1,False,Rain_1m,2
373,MASSADA_1m,MASSADA_,,,1,False,Rain_1m,1
